0011;1642058247;kanan;tidakdiketahui;0;d3cc8a690000.png;simpan
0025;1642058249;kanan;motor;1;d7f88e5b0002.png;simpan
0032;1642058250;kanan;motor;2;87965bae0001.png;simpan
0037;1642058250;kiri;motor;1;5facd3950005.png;simpan
0038;1642058250;kanan;motor;1;98ca9d930006.png;simpan
0039;1642058251;kanan;tidakdiketahui;0;38848de40003.png;simpan
0065;1642058254;kanan;motor;1;22c96e6e0009.png;simpan
0071;1642058255;kiri;motor;1;2a81afb30010.png;simpan
0091;1642058257;kanan;motor;1;b9be7a8d0012.png;simpan
0092;1642058257;kanan;motor;1;0429ac800013.png;simpan
0093;1642058257;kanan;motor;1;636cd0140018.png;simpan
0112;1642058260;kanan;motor;1;237289030019.png;simpan
0124;1642058261;kiri;motor;1;ec9b422a0022.png;simpan
0143;1642058263;kanan;motor;1;bdfa58350023.png;simpan
0148;1642058264;kiri;motor;1;fa9572e60024.png;simpan
0165;1642058266;kanan;motor;1;75bdd8e90028.png;simpan
0191;1642058269;kanan;motor;1;6db2e3340037.png;simpan
0198;1642058270;kanan;motor;1;252f26410035.png;simpan
0200;1642058271;kanan;motor;2;9a694d6b0033.png;simpan
0209;1642058272;kanan;motor;1;55f283530036.png;simpan
0226;1642058274;kanan;motor;1;d11568900049.png;simpan
0228;1642058274;kanan;motor;1;c9567fa80044.png;simpan
0245;1642058276;kanan;motor;1;00a31ea20050.png;simpan
0250;1642058277;kiri;motor;1;b99815ab0051.png;simpan
0256;1642058278;kanan;motor;3;4e1072cb0052.png;simpan
0257;1642058278;kiri;tidakdiketahui;0;0d44e87d0057.png;simpan
0258;1642058278;kiri;tidakdiketahui;0;e027aa630053.png;simpan
0259;1642058278;kiri;tidakdiketahui;0;b8528ed90058.png;simpan
0266;1642058279;kiri;motor;1;0e7df11a0056.png;simpan
0270;1642058279;kanan;motor;1;6d3f469f0060.png;simpan
0278;1642058280;kanan;motor;2;9f31fe1c0061.png;simpan
0279;1642058280;kanan;motor;1;7dadd6ed0062.png;simpan
0283;1642058281;kanan;tidakdiketahui;0;21c440920064.png;simpan
0286;1642058281;kanan;motor;1;a2d95f680063.png;simpan
0287;1642058281;kanan;motor;1;226493510065.png;simpan
0288;1642058282;kanan;motor;1;2027fdbd0070.png;simpan
0292;1642058282;kanan;tidakdiketahui;0;7826e6e50069.png;simpan
0293;1642058283;kanan;tidakdiketahui;0;8b8fdf960074.png;simpan
0294;1642058283;kanan;tidakdiketahui;0;5dc3dce10075.png;simpan
0295;1642058283;kanan;tidakdiketahui;0;a76bbc420076.png;simpan
0296;1642058283;kanan;tidakdiketahui;0;2da607b60077.png;simpan
0297;1642058283;kanan;motor;1;1006a9600068.png;simpan
0298;1642058283;kanan;tidakdiketahui;0;5f06c2e70078.png;simpan
0299;1642058284;kanan;tidakdiketahui;0;aa4a1c610079.png;simpan
0300;1642058284;kanan;tidakdiketahui;0;94146b7e0080.png;simpan
0301;1642058284;kanan;tidakdiketahui;0;80d3d8610081.png;simpan
0302;1642058284;kanan;tidakdiketahui;0;dc47e7090082.png;simpan
0303;1642058285;kanan;tidakdiketahui;0;df408cfc0083.png;simpan
0304;1642058285;kanan;tidakdiketahui;0;739638ef0084.png;simpan
0305;1642058285;kanan;tidakdiketahui;0;2288b3e60085.png;simpan
0306;1642058285;kanan;motor;1;492e2a020071.png;simpan
0331;1642058288;kiri;motor;1;690136c90089.png;simpan
0351;1642058290;kiri;motor;1;1c5e57d40091.png;simpan
0366;1642058292;kiri;motor;1;34be7a8b0093.png;simpan
0377;1642058293;kiri;motor;1;028b26960095.png;simpan
0399;1642058296;kanan;motor;1;e2b472880096.png;simpan
0419;1642058298;kanan;motor;1;f93ee9850099.png;simpan
0425;1642058299;kiri;motor;1;70c7d8480101.png;simpan
0437;1642058301;kanan;mobil;1;246ff8c40104.png;simpan
0462;1642058305;kanan;motor;1;cab7a61c0106.png;simpan
0464;1642058305;kanan;motor;1;6d922aed0107.png;simpan
0533;1642058315;kanan;motor;2;efddd2fa0119.png;simpan
0546;1642058317;kanan;motor;1;5f8e71690132.png;simpan
0549;1642058317;kanan;tidakdiketahui;0;0e1cc6fc0137.png;simpan
0563;1642058319;kanan;motor;2;2dcda0f10113.png;simpan
0568;1642058320;kanan;motor;1;ed1d901f0140.png;simpan
0571;1642058320;kanan;motor;1;6cb8c9410138.png;simpan
0599;1642058323;kanan;motor;1;5732698c0141.png;simpan
0611;1642058325;kanan;motor;1;1307575f0142.png;simpan
0612;1642058325;kanan;tidakdiketahui;0;40e9f3f20143.png;simpan
0624;1642058326;kanan;motor;1;83cc2a630144.png;simpan
0636;1642058328;kanan;motor;1;5db1f9490145.png;simpan
0639;1642058329;kiri;motor;1;8ad8ca770147.png;simpan
0641;1642058329;kanan;motor;1;7a37b3760148.png;simpan
0664;1642058333;kanan;motor;2;7aff13c50152.png;simpan
0670;1642058333;kanan;motor;1;69b399250153.png;simpan
0671;1642058333;kanan;tidakdiketahui;0;75d0e23d0155.png;simpan
0690;1642058336;kiri;tidakdiketahui;0;168286240156.png;simpan
0706;1642058339;kanan;keduanya;2;834d57060157.png;simpan
0729;1642058343;kanan;motor;1;09097efe0158.png;simpan
0756;1642058346;kanan;tidakdiketahui;0;2ba61b0d0159.png;simpan
0769;1642058347;kiri;tidakdiketahui;0;9ab044350160.png;simpan
0797;1642058351;kanan;tidakdiketahui;0;2934b0510163.png;simpan
0798;1642058351;kiri;motor;1;cd9fb08a0162.png;simpan
0802;1642058352;kanan;motor;1;854fea5a0165.png;simpan
0829;1642058355;kiri;motor;1;7074f1210166.png;simpan
0888;1642058362;kiri;tidakdiketahui;0;0d57c4500167.png;simpan
0905;1642058365;kiri;motor;1;a1ba98d80168.png;simpan
0917;1642058366;kiri;motor;1;3082a9f20169.png;simpan
0931;1642058368;kiri;motor;1;999f48cf0170.png;simpan
0941;1642058369;kiri;motor;1;5bb5d8320171.png;simpan
0959;1642058371;kiri;motor;1;82d918390172.png;simpan
0986;1642058375;kiri;tidakdiketahui;0;735d60550173.png;simpan
